# id                    Nep   period     totamp   A1      A2      A3      phi1     phi2     phi3     phi21    phi31    meanmag   cost     phcov   phcov2   snr      Npt   order   minmax   phaseshift   id_2                  Nep_rv   totamp_rv   A1_rv     A2_rv    A3_rv    phi1_rv   phi2_rv   phi3_rv   phi21_rv   phi31_rv   mean_rv    cost_rv   phcov_rv   snr_rv    Npt_rv   order_rv   minmax_rv   remark  
  4403909042680560000   24    0.517558   0.595    0.266   0.079   0.019   -1.004   0.577    1.709    8.8675   4.721    12.646    0.0023   0.862   0.763    230.3    24    4       0.593    -0.16        4403909042680560000   12       35.45       14.652    2.581    4.488    -0.042    1.966     -1.38     8.3325     5.0275     31.526     1.0459    0.777      62.8      12       3          39.142      1       
  4356714327124981632   29    0.57105    0.609    0.216   0.107   0.065   1.478    5.597    -2.531   8.9233   5.5999   13.117    8.0E-4   0.901   0.855    1043.5   29    5       0.602    0.235        4356714327124981632   10       157.683     46.372    7.968    11.579   0.069     3.697     2.501     9.843      8.5776     11.387     0.0       0.834      1142.1    10       6          151.65      0       
  4352084489819078784   28    0.397032   0.792    0.298   0.149   0.066   -0.352   2.259    -1.342   9.2464   5.9979   10.868    0.0163   0.843   0.906    123.5    28    4       0.91     -0.056       4352084489819078784   12       72.301      27.146    12.928   7.724    -0.148    2.822     -0.1      9.401      6.627      -15.843    0.3901    0.693      3459.1    12       3          61.396      1       
  4209826170730176896   28    0.475073   1.034    0.361   0.192   0.12    -0.362   1.509    -2.307   8.5165   5.0621   13.423    0.0199   0.857   0.879    259.0    28    4       0.954    -0.058       4209826170730176896   8        91.863      38.955    16.672   5.511    -0.439    2.6       -0.105    9.7616     7.4959     64.734     0.0       0.812      22327.9   8        6          83.554      1       
  3976785295394882688   27    0.626728   0.977    0.351   0.173   0.099   -2.527   3.776    -2.216   8.8297   5.3644   12.336    0.0219   0.831   0.807    138.7    27    4       0.986    -0.402       3976785295394882688   10       67.378      27.956    10.445   5.735    -0.38     2.273     -1.482    9.3157     5.941      -56.993    0.6566    0.774      93.1      10       3          65.541      1       
  3969581471303791872   25    0.592296   0.549    0.223   0.087   0.026   -1.272   0.025    1.534    8.852    5.3486   13.183    0.0103   0.723   0.849    83.9     25    4       0.631    -0.202       3969581471303791872   8        65.25       28.21     9.044    2.938    -0.255    1.962     -1.672    8.755      5.3758     -159.385   0.0       0.703      56625.4   8        6          64.724      1       
  3915944064285661312   29    0.598654   1.042    0.353   0.19    0.121   -2.706   3.338    -2.87    8.7496   5.2483   12.274    0.0062   0.919   0.893    861.9    29    6       1.013    -0.431       3915944064285661312   10       82.331      27.003    11.712   12.566   -0.284    2.025     -1.979    8.8769     5.1579     28.555     0.0       0.803      8270.8    10       5          75.003      1       
  3616737091755407744   32    0.658608   0.218    0.101   0.028   0.008   1.772    -0.186   -1.078   8.8363   6.1713   11.376    0.0016   0.925   0.873    127.1    32    4       0.235    0.282        3616737091755407744   12       30.024      14.235    3.037    0.833    0.12      3.647     0.738     9.6914     6.6625     -74.123    0.3204    0.754      125.4     12       3          26.328      1       
  3275195623020439424   25    0.369917   0.937    0.38    0.166   0.079   2.775    1.569    0.454    8.5864   4.6969   12.449    0.0155   0.832   0.79     126.1    25    4       0.969    0.442        3275195623020439424   10       62.652      27.096    5.116    5.382    -0.218    2.387     -2.747    9.106      4.1898     -17.249    0.0       0.8        9988.0    10       5          58.993      1       
  2732532930441921152   27    0.525658   0.93     0.323   0.152   0.111   1.45     5.244    -3.188   8.6262   5.0272   14.019    0.0019   0.89    0.859    514.5    27    6       0.956    0.231        2732532930441921152   10       316.994     100.495   70.471   21.892   0.453     3.579     -0.382    8.9562     4.5425     -56.45     11.8032   0.688      25.9      10       3          387.473     0       
  2721284578596687232   21    0.576851   0.661    0.313   0.065   0.042   -0.61    1.734    -2.497   9.2363   5.6153   12.722    0.0106   0.826   0.853    94.8     21    4       0.703    -0.097       2721284578596687232   9        43.687      20.343    2.607    5.544    -0.31     2.672     -0.763    9.5753     6.4504     -302.137   0.3162    0.706      978.6     9        5          42.255      0       
  2676230131143419136   24    0.588224   0.327    0.164   0.007   0.002   1.392    3.235    -2.971   6.7338   5.4186   12.752    0.05     0.734   0.798    8.3      24    4       1.288    0.222        2676230131143419136   11       68.476      18.176    8.616    11.927   -0.936    0.822     2.228     8.9772     5.037      34.935     1.8046    0.687      259.7     11       3          60.187      0       
  1183706283996839680   25    0.604521   0.48     0.19    0.081   0.046   0.314    3.304    0.328    8.9585   5.6693   12.529    5.0E-4   0.878   0.856    747.5    25    5       0.46     0.05         1183706283996839680   12       52.896      23.095    8.689    6.131    -0.12     2.985     -1.266    9.5083     5.3771     28.98      2.6761    0.771      25.5      12       4          61.129      1       
